CUSTOMER_ID|STORE_ID|FIRST_NAME|LAST_NAME|EMAIL|ADDRESS_ID
194|2|KRISTEN|CHAVEZ|KRISTEN.CHAVEZ@sakilacustomer.org|198
35|2|VIRGINIA|GREEN|VIRGINIA.GREEN@sakilacustomer.org|39
304|2|DAVID|ROYAL|DAVID.ROYAL@sakilacustomer.org|309
165|2|LORRAINE|STEPHENS|LORRAINE.STEPHENS@sakilacustomer.org|169
493|1|BRENT|HARKINS|BRENT.HARKINS@sakilacustomer.org|498
149|1|VALERIE|BLACK|VALERIE.BLACK@sakilacustomer.org|153
446|2|THEODORE|CULP|THEODORE.CULP@sakilacustomer.org|451
380|1|RUSSELL|BRINSON|RUSSELL.BRINSON@sakilacustomer.org|385
387|2|JESSE|SCHILLING|JESSE.SCHILLING@sakilacustomer.org|392
532|2|NEIL|RENNER|NEIL.RENNER@sakilacustomer.org|538
229|1|TAMARA|NGUYEN|TAMARA.NGUYEN@sakilacustomer.org|233
269|1|CASSANDRA|WALTERS|CASSANDRA.WALTERS@sakilacustomer.org|274
430|1|RAY|HOULE|RAY.HOULE@sakilacustomer.org|435
356|2|GERALD|FULTZ|GERALD.FULTZ@sakilacustomer.org|361
129|1|CARRIE|PORTER|CARRIE.PORTER@sakilacustomer.org|133
286|1|VELMA|LUCAS|VELMA.LUCAS@sakilacustomer.org|291
498|1|GENE|SANBORN|GENE.SANBORN@sakilacustomer.org|503
464|1|JEROME|KENYON|JEROME.KENYON@sakilacustomer.org|469
322|1|JASON|MORRISSEY|JASON.MORRISSEY@sakilacustomer.org|327
185|1|ROBERTA|HARPER|ROBERTA.HARPER@sakilacustomer.org|189
350|1|JUAN|FRALEY|JUAN.FRALEY@sakilacustomer.org|355
346|1|ARTHUR|SIMPKINS|ARTHUR.SIMPKINS@sakilacustomer.org|351
12|1|NANCY|THOMAS|NANCY.THOMAS@sakilacustomer.org|16
478|1|LEWIS|LYMAN|LEWIS.LYMAN@sakilacustomer.org|483
393|1|PHILIP|CAUSEY|PHILIP.CAUSEY@sakilacustomer.org|398
257|2|MARSHA|DOUGLAS|MARSHA.DOUGLAS@sakilacustomer.org|262
368|1|HARRY|ARCE|HARRY.ARCE@sakilacustomer.org|373
435|2|RICKY|SHELBY|RICKY.SHELBY@sakilacustomer.org|440
499|2|MARC|OUTLAW|MARC.OUTLAW@sakilacustomer.org|504
207|1|GERTRUDE|CASTILLO|GERTRUDE.CASTILLO@sakilacustomer.org|211
248|1|CAROLINE|BOWMAN|CAROLINE.BOWMAN@sakilacustomer.org|252
49|2|JOYCE|EDWARDS|JOYCE.EDWARDS@sakilacustomer.org|53
107|1|FLORENCE|WOODS|FLORENCE.WOODS@sakilacustomer.org|111
170|1|BEATRICE|ARNOLD|BEATRICE.ARNOLD@sakilacustomer.org|174
413|2|MARVIN|YEE|MARVIN.YEE@sakilacustomer.org|418
539|1|MATHEW|BOLIN|MATHEW.BOLIN@sakilacustomer.org|545
200|2|JEANNE|LAWSON|JEANNE.LAWSON@sakilacustomer.org|204
217|2|AGNES|BISHOP|AGNES.BISHOP@sakilacustomer.org|221
7|1|MARIA|MILLER|MARIA.MILLER@sakilacustomer.org|11
551|2|CLAYTON|BARBEE|CLAYTON.BARBEE@sakilacustomer.org|557
514|2|FRANKLIN|TROUTMAN|FRANKLIN.TROUTMAN@sakilacustomer.org|520
299|2|JAMES|GANNON|JAMES.GANNON@sakilacustomer.org|304
92|2|TINA|SIMMONS|TINA.SIMMONS@sakilacustomer.org|96
179|1|DANA|HART|DANA.HART@sakilacustomer.org|183
594|1|EDUARDO|HIATT|EDUARDO.HIATT@sakilacustomer.org|600
203|1|TARA|RYAN|TARA.RYAN@sakilacustomer.org|207
128|1|MARJORIE|TUCKER|MARJORIE.TUCKER@sakilacustomer.org|132
561|2|IAN|STILL|IAN.STILL@sakilacustomer.org|567
587|1|SERGIO|STANFIELD|SERGIO.STANFIELD@sakilacustomer.org|593
17|1|DONNA|THOMPSON|DONNA.THOMPSON@sakilacustomer.org|21
407|1|DALE|RATCLIFF|DALE.RATCLIFF@sakilacustomer.org|412
221|1|BESSIE|MORRISON|BESSIE.MORRISON@sakilacustomer.org|225
45|1|JANET|PHILLIPS|JANET.PHILLIPS@sakilacustomer.org|49
99|2|EMILY|DIAZ|EMILY.DIAZ@sakilacustomer.org|103
480|1|COREY|HAUSER|COREY.HAUSER@sakilacustomer.org|485
263|1|HILDA|HOPKINS|HILDA.HOPKINS@sakilacustomer.org|268
95|2|PAULA|BRYANT|PAULA.BRYANT@sakilacustomer.org|99
348|2|ROGER|QUINTANILLA|ROGER.QUINTANILLA@sakilacustomer.org|353
48|1|ANN|EVANS|ANN.EVANS@sakilacustomer.org|52
382|2|VICTOR|BARKLEY|VICTOR.BARKLEY@sakilacustomer.org|387
352|1|ALBERT|CROUSE|ALBERT.CROUSE@sakilacustomer.org|357
522|2|ARNOLD|HAVENS|ARNOLD.HAVENS@sakilacustomer.org|528
133|1|PAULINE|HENRY|PAULINE.HENRY@sakilacustomer.org|137
327|2|LARRY|THRASHER|LARRY.THRASHER@sakilacustomer.org|332
151|2|MEGAN|PALMER|MEGAN.PALMER@sakilacustomer.org|155
274|1|NAOMI|JENNINGS|NAOMI.JENNINGS@sakilacustomer.org|279
453|1|CALVIN|MARTEL|CALVIN.MARTEL@sakilacustomer.org|458
284|1|SONIA|GREGORY|SONIA.GREGORY@sakilacustomer.org|289
593|2|RENE|MCALISTER|RENE.MCALISTER@sakilacustomer.org|599
489|1|RICARDO|MEADOR|RICARDO.MEADOR@sakilacustomer.org|494
370|2|WAYNE|TRUONG|WAYNE.TRUONG@sakilacustomer.org|375
152|1|ALICIA|MILLS|ALICIA.MILLS@sakilacustomer.org|156
226|2|MAUREEN|LITTLE|MAUREEN.LITTLE@sakilacustomer.org|230
509|1|RAUL|FORTIER|RAUL.FORTIER@sakilacustomer.org|514
114|2|GRACE|ELLIS|GRACE.ELLIS@sakilacustomer.org|118
198|2|ELSIE|KELLEY|ELSIE.KELLEY@sakilacustomer.org|202
433|1|DON|BONE|DON.BONE@sakilacustomer.org|438
206|1|TERRI|VASQUEZ|TERRI.VASQUEZ@sakilacustomer.org|210
15|1|HELEN|HARRIS|HELEN.HARRIS@sakilacustomer.org|19
578|2|WILLARD|LUMPKIN|WILLARD.LUMPKIN@sakilacustomer.org|584
462|2|WARREN|SHERROD|WARREN.SHERROD@sakilacustomer.org|467
502|1|BRETT|CORNWELL|BRETT.CORNWELL@sakilacustomer.org|507
201|1|VICKI|FIELDS|VICKI.FIELDS@sakilacustomer.org|205
160|2|ERIN|DUNN|ERIN.DUNN@sakilacustomer.org|164
189|1|LORETTA|CARPENTER|LORETTA.CARPENTER@sakilacustomer.org|193
391|1|CLARENCE|GAMEZ|CLARENCE.GAMEZ@sakilacustomer.org|396
262|2|PATSY|DAVIDSON|PATSY.DAVIDSON@sakilacustomer.org|267
172|1|BERNICE|WILLIS|BERNICE.WILLIS@sakilacustomer.org|176
414|1|VINCENT|RALSTON|VINCENT.RALSTON@sakilacustomer.org|419
525|2|ADRIAN|CLARY|ADRIAN.CLARY@sakilacustomer.org|531
87|1|WANDA|PATTERSON|WANDA.PATTERSON@sakilacustomer.org|91
196|1|ALMA|AUSTIN|ALMA.AUSTIN@sakilacustomer.org|200
398|1|ANTONIO|MEEK|ANTONIO.MEEK@sakilacustomer.org|403
224|2|PEARL|GARZA|PEARL.GARZA@sakilacustomer.org|228
169|2|ERICA|MATTHEWS|ERICA.MATTHEWS@sakilacustomer.org|173
308|1|THOMAS|GRIGSBY|THOMAS.GRIGSBY@sakilacustomer.org|313
491|2|RICK|MATTOX|RICK.MATTOX@sakilacustomer.org|496
73|2|BEVERLY|BROOKS|BEVERLY.BROOKS@sakilacustomer.org|77
79|1|RACHEL|BARNES|RACHEL.BARNES@sakilacustomer.org|83
268|1|NINA|SOTO|NINA.SOTO@sakilacustomer.org|273
516|2|ELMER|NOE|ELMER.NOE@sakilacustomer.org|522
62|1|JOAN|COOPER|JOAN.COOPER@sakilacustomer.org|66
204|1|ROSEMARY|SCHMIDT|ROSEMARY.SCHMIDT@sakilacustomer.org|208
555|1|DWIGHT|LOMBARDI|DWIGHT.LOMBARDI@sakilacustomer.org|561
259|2|LENA|JENSEN|LENA.JENSEN@sakilacustomer.org|264
588|1|MARION|OCAMPO|MARION.OCAMPO@sakilacustomer.org|594
28|1|CYNTHIA|YOUNG|CYNTHIA.YOUNG@sakilacustomer.org|32
383|1|MARTIN|BALES|MARTIN.BALES@sakilacustomer.org|388
445|1|MICHEAL|FORMAN|MICHEAL.FORMAN@sakilacustomer.org|450
273|2|PRISCILLA|LOWE|PRISCILLA.LOWE@sakilacustomer.org|278
